cm Top_i (cm)                   ,age Top_i (yr BP)              ,char Count_i (#)               ,char Vol_i (cm3)               ,char Con_i (# cm-3)            ,char Acc_i (# cm-2 yr-1)       ,charBkg (# cm-2 yr-1)          ,char Peak (# cm-2 yr-1)        ,thresh 1 (# cm-2 yr-1)         ,thresh 2 (# cm-2 yr-1)         ,thresh 3 (# cm-2 yr-1)         ,thresh FinalPos (# cm-2 yr-1)  ,thresh FinalNeg (# cm-2 yr-1)  ,SNI (index)                    ,thresh GOF (p-val)             ,peaks 1                        ,peaks 2                        ,peaks 3                        ,peaks Final                    ,peaks Insig.                   ,peak Mag (# cm-2 peak-1)       
0,-57,0.618,3,0.206,0.033432,0.0096948,0.023737,0.005354,0.0089768,0.013038,0.0089768,-0.015757,4.6698,0.11198,0,0,0,0,0,0
2.4344,-42,0.44333,3,0.14778,0.018681,0.0096465,0.0090343,0.0053365,0.0089415,0.012982,0.0089415,-0.01567,4.6585,0.036208,0,0,0,0,1,0.23765
4.3305,-27,0.30267,3,0.10089,0.010878,0.0096019,0.0012765,0.00532,0.0089074,0.012929,0.0089074,-0.015584,4.6472,0.15172,0,0,0,0,0,0
5.9479,-12,0,3,0,0,0.0095603,-0.0095603,0.0053043,0.0088742,0.012876,0.0088742,-0.015498,4.6358,0.17951,0,0,0,0,0,0
7.0329,3,0.45933,3,0.15311,0.0086431,0.0095209,-0.00087784,0.0052889,0.0088412,0.012823,0.0088412,-0.015411,4.6245,0.11062,0,0,0,0,0,0
7.8796,18,0,3,0,0,0.0094833,-0.0094833,0.0052734,0.0088081,0.01277,0.0088081,-0.015324,4.6132,0.18523,0,0,0,0,0,0
8.5983,33,0.56333,3,0.18778,0.0085234,0.0094468,-0.00092343,0.0052575,0.0087744,0.012716,0.0087744,-0.015236,4.6021,0.23718,0,0,0,0,0,0
9.2792,48,1.5227,3,0.50756,0.029094,0.0094112,0.019682,0.0052409,0.0087396,0.012661,0.0087396,-0.015147,4.5911,0.33199,0,0,0,0,0,0
10.139,63,1.6793,3,0.55978,0.043458,0.0093762,0.034082,0.0052232,0.0087035,0.012604,0.0087035,-0.015057,4.5803,0.20547,1,1,1,1,0,0.58114
11.3035,78,0.43067,3,0.14356,0.0047219,0.0093411,-0.0046192,0.0052044,0.0086658,0.012546,0.0086658,-0.014966,4.5697,0.18613,0,0,0,0,0,0
11.7969,93,0,3,0,0,0.0093051,-0.0093051,0.0051841,0.0086262,0.012484,0.0086262,-0.014873,4.5593,0.22893,0,0,0,0,0,0
12.113,108,0,3,0,0,0.0092674,-0.0092674,0.0051623,0.0085846,0.012421,0.0085846,-0.01478,4.5491,0.28144,0,0,0,0,0,0
12.433,123,0.14867,3,0.049556,0.0010709,0.0092276,-0.0081567,0.0051389,0.008541,0.012354,0.008541,-0.014686,4.5392,0.15057,0,0,0,0,0,0
12.7572,138,1,3,0.33333,0.0070488,0.0091854,-0.0021366,0.0051138,0.0084952,0.012285,0.0084952,-0.01459,4.5295,0.27013,0,0,0,0,0,0
13.0744,153,1,3,0.33333,0.0072251,0.0091406,-0.0019155,0.0050873,0.0084475,0.012214,0.0084475,-0.014493,4.5199,0.32674,0,0,0,0,0,0
13.3995,168,1,3,0.33333,0.0070947,0.0090937,-0.001999,0.0050594,0.0083981,0.01214,0.0083981,-0.014396,4.5105,0.26364,0,0,0,0,0,0
13.7187,183,1,3,0.33333,0.0071539,0.0090449,-0.0018909,0.0050306,0.0083475,0.012065,0.0083475,-0.014297,4.5013,0.46384,0,0,0,0,0,0
14.0407,198,1.7147,3,0.57156,0.012295,0.008995,0.0033002,0.0050013,0.0082962,0.011989,0.0082962,-0.014198,4.4921,0.4971,0,0,0,0,0,0
14.3633,213,2.6813,3,0.89378,0.018979,0.0089453,0.010034,0.0049723,0.0082451,0.011914,0.0082451,-0.014099,4.4829,0.44076,1,1,0,1,0,0.026835
14.6819,228,1,3,0.33333,0.0072343,0.0088973,-0.001663,0.0049444,0.0081954,0.01184,0.0081954,-0.014,4.4735,0.389,0,0,0,0,0,0
15.0074,243,1,3,0.33333,0.0070597,0.0088531,-0.0017934,0.0049189,0.0081487,0.011769,0.0081487,-0.013902,4.4638,0.44547,0,0,0,0,0,0
15.3251,258,1,3,0.33333,0.0071218,0.0088158,-0.001694,0.0048979,0.0081074,0.011705,0.0081074,-0.013805,4.4535,0.54984,0,0,0,0,0,0
15.6456,273,0.32467,3,0.10822,0.0023204,0.0087906,-0.0064703,0.0048839,0.0080749,0.011652,0.0080749,-0.013711,4.4424,0.59814,0,0,0,0,0,0
15.9672,288,0,3,0,0,0.0087856,-0.0087856,0.0048813,0.0080564,0.011615,0.0080564,-0.013621,4.4301,0.63676,0,0,0,0,0,0
16.2886,303,2.056,3,0.68533,0.014694,0.0088121,0.0058821,0.0048955,0.0080585,0.011604,0.0080585,-0.013536,4.4161,0.5535,0,0,0,0,0,0
16.6102,318,4.304,3,1.4347,0.03076,0.0088778,0.021883,0.0049301,0.0080855,0.011622,0.0080855,-0.013457,4.4005,0.57603,0,0,0,0,0,0
16.9318,333,4.576,3,1.5253,0.032726,0.0089146,0.023812,0.0049613,0.0081059,0.011631,0.0081059,-0.013363,4.4053,0.025528,0,0,0,0,0,0
17.2536,348,4.298,3,1.4327,0.030718,0.0089487,0.021769,0.0049958,0.0081305,0.011644,0.0081305,-0.013271,4.4184,0.25123,1,1,1,1,0,0.7334
17.5753,363,1.0867,3,0.36222,0.0077694,0.0089807,-0.0012113,0.0050313,0.0081566,0.01166,0.0081566,-0.01318,4.4407,0.25211,0,0,0,0,0,0
17.897,378,0,3,0,0,0.0090101,-0.0090101,0.0050664,0.0081826,0.011676,0.0081826,-0.013092,4.4725,0.20073,0,0,0,0,0,0
18.2187,393,0,3,0,0,0.009034,-0.009034,0.0051,0.0082075,0.011691,0.0082075,-0.013008,4.5141,0.22302,0,0,0,0,0,0
18.5406,408,0.34933,3,0.11644,0.0024988,0.0090493,-0.0065505,0.0051313,0.0082303,0.011704,0.0082303,-0.012927,4.5659,0.20285,0,0,0,0,0,0
18.8624,423,2.1453,3,0.71511,0.015346,0.0090509,0.0062948,0.0051597,0.0082504,0.011715,0.0082504,-0.01285,4.6277,0.54678,0,0,0,0,0,0
19.1843,438,2.96,3,0.98667,0.021187,0.0090326,0.012155,0.0051848,0.0082672,0.011722,0.0082672,-0.012777,4.6996,0.29133,1,1,1,1,0,0.058311
19.5064,453,1,3,0.33333,0.0071546,0.0089902,-0.0018356,0.0052066,0.008281,0.011727,0.008281,-0.012708,4.7813,0.16552,0,0,0,0,0,0
19.8284,468,0.53267,3,0.17756,0.0038135,0.008923,-0.0051095,0.0052255,0.008292,0.011729,0.008292,-0.012644,4.8719,0.17643,0,0,0,0,0,0
20.1506,483,0,3,0,0,0.0088335,-0.0088335,0.0052421,0.0083009,0.01173,0.0083009,-0.012582,4.9705,0.23267,0,0,0,0,0,0
20.4727,498,1.0547,3,0.35156,0.0075506,0.0087258,-0.0011753,0.0052574,0.0083089,0.011729,0.0083089,-0.012525,5.0761,0.14513,0,0,0,0,0,0
20.7949,513,1.6367,3,0.54556,0.011721,0.0086046,0.0031163,0.0052724,0.0083172,0.01173,0.0083172,-0.01247,5.1878,0.29382,0,0,0,0,0,0
21.1172,528,1.588,3,0.52933,0.011379,0.008475,0.0029036,0.0052882,0.0083269,0.011733,0.0083269,-0.012419,5.3049,0.26507,0,0,0,0,0,0
21.4396,543,0.412,3,0.13733,0.0029521,0.0083421,-0.00539,0.0053062,0.0083397,0.01174,0.0083397,-0.012371,5.4273,0.30535,0,0,0,0,0,0
21.762,558,1.524,3,0.508,0.01092,0.0082109,0.0027092,0.0053277,0.0083572,0.011753,0.0083572,-0.012326,5.5548,0.2696,0,0,0,0,0,0
22.0845,573,1.54,2.5133,0.51333,0.011039,0.0080853,0.002954,0.0053537,0.0083807,0.011774,0.0083807,-0.012285,5.6874,0.62862,0,0,0,0,0,0
22.4071,588,2.136,2.712,0.712,0.015309,0.007968,0.007341,0.0053851,0.0084112,0.011803,0.0084112,-0.012249,5.8253,0.35014,0,0,0,0,0,0
22.7296,603,1.1267,3,0.37556,0.0080795,0.0079183,0.00016116,0.0054225,0.0084495,0.011842,0.0084495,-0.012216,5.9686,0.67401,0,0,0,0,0,0
23.0523,618,0.61267,3,0.20422,0.0043952,0.0078438,-0.0034485,0.0054659,0.0084957,0.011892,0.0084957,-0.012189,6.1172,0.71832,0,0,0,0,0,0
23.3751,633,0.61333,3,0.20444,0.0044023,0.0077877,-0.0033854,0.0055153,0.0085498,0.011951,0.0085498,-0.012168,6.2713,0.83414,0,0,0,0,0,0
23.6981,648,0.93533,3,0.31178,0.0067095,0.0077531,-0.0010436,0.0055698,0.008611,0.01202,0.008611,-0.012152,6.4304,0.85719,0,0,0,0,0,0
24.0209,663,0.58267,3,0.19422,0.0041848,0.0077409,-0.0035562,0.0056286,0.0086783,0.012097,0.0086783,-0.012143,6.5939,0.86394,0,0,0,0,0,0
24.3441,678,0.96533,3,0.32178,0.006932,0.0077493,-0.00081731,0.00569,0.0087498,0.01218,0.0087498,-0.01214,6.7609,0.87309,0,0,0,0,0,0
24.6672,693,1.488,3,0.496,0.010683,0.0077716,0.0029112,0.005754,0.0088259,0.012269,0.0088259,-0.012147,6.9297,0.86515,0,0,0,0,0,0
24.9903,708,2.378,3,0.79267,0.017094,0.0077967,0.0092975,0.0058263,0.0089143,0.012376,0.0089143,-0.012168,7.098,0.72785,1,1,0,1,0,0.0057486
25.3138,723,0.424,3,0.14133,0.0030471,0.0078129,-0.0047658,0.0059099,0.0090192,0.012504,0.0090192,-0.012208,7.2635,0.65726,0,0,0,0,0,0
25.6372,738,0.34867,3,0.11622,0.002507,0.0078104,-0.0053035,0.0060064,0.0091427,0.012658,0.0091427,-0.012269,7.4238,0.80994,0,0,0,0,0,0
25.9607,753,0.87867,3,0.29289,0.0063177,0.0077856,-0.0014679,0.0061154,0.0092845,0.012837,0.0092845,-0.012351,7.5766,0.73441,0,0,0,0,0,0
26.2843,768,1,3,0.33333,0.0071922,0.0077398,-0.00054762,0.0062348,0.0094418,0.013037,0.0094418,-0.012453,7.72,0.67139,0,0,0,0,0,0
26.6079,783,1,3,0.33333,0.0071963,0.007677,-0.00048073,0.0063614,0.0096106,0.013253,0.0096106,-0.012572,7.8518,0.72731,0,0,0,0,0,0
26.9318,798,0.21067,2.982,0.070222,0.001517,0.0076045,-0.0060874,0.0064938,0.0097886,0.013482,0.0097886,-0.012706,7.9701,0.77666,0,0,0,0,0,0
27.2558,813,0.246,2,0.123,0.002656,0.0075313,-0.0048753,0.0066385,0.0099844,0.013735,0.0099844,-0.012859,8.0726,0.76214,0,0,0,0,0,0
27.5797,828,0.52533,2,0.26267,0.0056779,0.007465,-0.0017871,0.0068066,0.010212,0.014029,0.010212,-0.013036,8.1575,0.75895,0,0,0,0,0,0
27.904,843,1.408,2.704,0.46933,0.010144,0.0074286,0.0027151,0.0070038,0.010478,0.014372,0.010478,-0.01324,8.2235,0.63951,0,0,0,0,0,0
28.2282,858,0.45867,3,0.15289,0.0033067,0.0074535,-0.0041468,0.0072305,0.010783,0.014765,0.010783,-0.013469,8.2706,0.78387,0,0,0,0,0,0
28.5526,873,2.392,3,0.79733,0.017252,0.0074702,0.0097822,0.0074832,0.011122,0.015201,0.011122,-0.013721,8.2993,0.748,0,0,0,0,0,0
28.8772,888,1.136,3,0.37867,0.0081936,0.0075084,0.0006852,0.0077566,0.011488,0.015671,0.011488,-0.013989,8.3107,0.6723,0,0,0,0,0,0
29.2017,903,1.6207,3,0.54022,0.011701,0.0075726,0.0041284,0.0080446,0.011874,0.016166,0.011874,-0.01427,8.306,0.63549,0,0,0,0,0,0
29.5266,918,1.312,3,0.43733,0.0094686,0.0076663,0.0018024,0.0083409,0.012271,0.016675,0.012271,-0.014558,8.2867,0.66868,0,0,0,0,0,0
29.8514,933,0.91467,3,0.30489,0.0066082,0.0077909,-0.0011828,0.0086395,0.01267,0.017189,0.01267,-0.01485,8.2546,0.70961,0,0,0,0,0,0
30.1765,948,4.6387,3,1.5462,0.033526,0.0079447,0.025581,0.0089342,0.013066,0.017696,0.013066,-0.01514,8.2114,0.73062,0,0,0,0,0,0
30.5017,963,5.71,3,1.9033,0.041269,0.0081248,0.033144,0.009219,0.013448,0.018189,0.013448,-0.015426,8.1586,0.75136,0,0,0,0,0,0
30.827,978,10.808,3,3.6027,0.078147,0.0083242,0.069823,0.0094887,0.013812,0.018659,0.013812,-0.015706,8.0975,0.74979,0,0,0,0,0,0
31.1523,993,11.2,3,3.7333,0.081019,0.0085313,0.072487,0.0097396,0.014153,0.019099,0.014153,-0.015976,8.0291,0.70487,1,1,1,1,0,2.638
31.4779,1008,0.68,3,0.22667,0.004923,0.0087318,-0.0038088,0.0099701,0.014468,0.019509,0.014468,-0.016238,7.9538,0.85907,0,0,0,0,0,0
31.8036,1023,0.39733,3,0.13244,0.0028767,0.0089121,-0.0060354,0.01018,0.014757,0.019888,0.014757,-0.016492,7.8722,0.83865,0,0,0,0,0,0
32.1295,1038,0.37,3,0.12333,0.0026803,0.0090642,-0.0063839,0.010369,0.015021,0.020235,0.015021,-0.016738,7.7848,0.84555,0,0,0,0,0,0
32.4554,1053,0,2.52,0,0,0.0091886,-0.0091886,0.010538,0.01526,0.020552,0.01526,-0.016977,7.6924,2.81E-05,0,0,0,0,0,0
32.7815,1068,0,2.3307,0,0,0.0092923,-0.0092923,0.010687,0.015475,0.020841,0.015475,-0.017209,7.5956,0.82866,0,0,0,0,0,0
33.1079,1083,0.56467,3,0.18822,0.0040974,0.009385,-0.0052876,0.010816,0.015663,0.021097,0.015663,-0.017433,7.4954,0.8212,0,0,0,0,0,0
33.4345,1098,0.26867,3,0.089556,0.0019503,0.0094764,-0.0075262,0.010922,0.015824,0.02132,0.015824,-0.017647,7.3928,0.79227,0,0,0,0,0,0
33.7611,1113,1.4627,3,0.48756,0.01062,0.0095723,0.0010477,0.011006,0.015957,0.021508,0.015957,-0.017849,7.2882,0.83365,0,0,0,0,0,0
34.0878,1128,1.008,3,0.336,0.0073235,0.0096734,-0.00235,0.011069,0.016064,0.021663,0.016064,-0.018038,7.1819,0.95741,0,0,0,0,0,0
34.4148,1143,0.52133,3,0.17378,0.0037901,0.0097781,-0.005988,0.011114,0.016147,0.021788,0.016147,-0.018213,7.074,0.96574,0,0,0,0,0,0
34.7419,1158,2.032,3,0.67733,0.014779,0.0098842,0.0048946,0.011144,0.016209,0.021887,0.016209,-0.018374,6.9648,0.00041739,0,0,0,0,0,0
35.0692,1173,3.312,3,1.104,0.024105,0.0099893,0.014115,0.011161,0.016255,0.021965,0.016255,-0.018522,6.8548,0.00048239,0,0,0,0,0,0
35.3967,1188,6.162,3,2.054,0.044874,0.010091,0.034783,0.011167,0.016285,0.022022,0.016285,-0.018656,6.7449,0.91847,1,1,1,1,0,0.27747
35.7244,1203,1.658,3,0.55267,0.012079,0.010188,0.0018909,0.01116,0.016296,0.022054,0.016296,-0.018772,6.6366,0.8749,0,0,0,0,0,0
36.0523,1218,6,3,2,0.04376,0.010284,0.033476,0.011137,0.016286,0.022058,0.016286,-0.018869,6.5311,0.81727,0,0,0,0,0,0
36.3805,1233,7.908,3,2.636,0.057706,0.010385,0.04732,0.011096,0.016251,0.02203,0.016251,-0.018944,6.43,0.76342,0,0,0,0,0,0
36.7088,1248,13.564,3,4.5213,0.099064,0.010499,0.088565,0.011035,0.016189,0.021966,0.016189,-0.018997,6.3344,0.68813,0,0,0,0,0,0
37.0375,1263,9,3,3,0.065789,0.010628,0.055161,0.010954,0.016099,0.021865,0.016099,-0.019027,6.2451,0.59597,0,0,0,0,0,0
37.3664,1278,4.842,2.703,1.6932,0.03717,0.010772,0.026398,0.010853,0.015981,0.02173,0.015981,-0.019034,6.1628,0.6398,1,1,1,1,0,3.2322
37.6957,1293,1.778,2.9177,0.61462,0.013502,0.010928,0.0025739,0.010734,0.01584,0.021564,0.01584,-0.019022,6.0877,0.37307,0,0,0,0,0,0
38.0253,1308,6.774,3,2.258,0.049632,0.01109,0.038543,0.010598,0.015675,0.021367,0.015675,-0.018991,6.0198,0.46308,1,1,1,1,0,0.34301
38.355,1323,2,3,0.66667,0.014671,0.01125,0.0034215,0.010444,0.015488,0.021141,0.015488,-0.018944,5.9587,0.44846,0,0,0,0,0,0
38.6851,1338,0.53533,3,0.17844,0.0039326,0.011402,-0.0074699,0.010276,0.01528,0.020889,0.01528,-0.018882,5.9033,0.21161,0,0,0,0,0,0
39.0157,1353,2.126,2.8543,0.70867,0.015627,0.011541,0.0040858,0.010095,0.015055,0.020615,0.015055,-0.018811,5.8527,0.28556,0,0,0,0,0,0
39.3464,1368,0.536,2.768,0.17867,0.0039442,0.01166,-0.007716,0.0099059,0.014821,0.02033,0.014821,-0.018734,5.8057,0.30387,0,0,0,0,0,0
39.6776,1383,0.21867,3,0.072889,0.0016109,0.011752,-0.010141,0.0097164,0.014585,0.020043,0.014585,-0.018656,5.761,0.62214,0,0,0,0,0,0
40.0091,1398,0,3,0,0,0.011809,-0.011809,0.0095302,0.014354,0.019762,0.014354,-0.018582,5.718,0.17369,0,0,0,0,0,0
40.341,1413,0,2.4787,0,0,0.011974,-0.011974,0.0093488,0.01413,0.019489,0.01413,-0.018511,5.6764,0.60253,0,0,0,0,0,0
